#{"t_start": 1776737486.7722251, "env_id": "Hopper-v5"}
r,l,t
434.899354,147,27.472529
763.73149,254,27.519491
395.353168,151,27.549105
732.460596,251,27.597403
372.421294,145,27.624612
426.144856,147,27.651099
479.289566,189,27.687539
656.875548,230,27.732066
360.652744,141,27.757509
396.969218,150,28.169794
573.430182,204,28.210979
870.081384,304,28.26949
503.028222,164,28.301158
246.765077,127,28.327222
198.275387,97,28.346706
418.897921,157,28.377296
701.272742,246,28.425514
459.278503,172,28.459349
552.904177,197,28.497499
449.528953,182,28.58195
514.518564,193,29.138716
514.529663,206,29.178502
380.657769,146,29.207325
666.776432,227,29.249724
222.668335,120,29.272532
563.258675,190,29.309496
798.584868,282,29.361574
618.494444,211,29.401768
680.802615,228,29.44654
328.86183,139,29.472817
403.5478,162,29.503289
692.825667,247,29.936581
640.477748,235,29.981803
425.457569,158,30.012751
536.648695,203,30.051144
537.17951,192,30.090107
451.197071,195,30.128226
758.937274,266,30.178131
333.725643,143,30.205441
585.931069,206,30.243825
418.240838,166,30.274874
372.447998,157,30.30353
638.205252,223,30.722337
407.793591,155,30.752004
580.676701,188,30.787224
423.64012,155,30.817115
411.466685,139,30.842312
453.087767,157,30.87465
584.175647,224,30.917995
343.942856,150,30.946981
754.41111,248,30.994718
740.532902,299,31.053677
453.584985,162,31.5095
502.933992,194,31.547269
627.739191,195,31.584744
289.528291,131,31.61047
470.293553,189,31.645957
1285.984937,485,31.735408
852.706646,312,31.796448
663.057949,238,31.841576
468.821935,190,31.878678
853.720581,294,32.381957
740.302715,242,32.428612
653.092422,212,32.46921
596.311758,208,32.508956
972.98204,324,32.575605
1205.152901,424,32.663811
607.74326,213,32.705975
604.71622,217,33.146868
265.479916,115,33.169008
999.219537,326,33.229075
893.196643,300,33.285561
541.025554,192,33.321522
909.792201,371,33.390078
618.190829,204,33.426886
641.168526,229,33.46907
518.877965,190,33.50519
1256.728705,440,33.980294
884.192487,281,34.0334
1130.128977,386,34.107397
323.86874,146,34.135327
429.856658,155,34.163856
659.011248,220,34.204308
713.478929,246,34.25012
1337.668338,473,34.72298
1150.895606,373,34.79099
495.377204,173,34.823803
474.708215,187,34.858615
419.190927,160,34.887639
1301.367178,484,34.974386
379.388117,160,35.004005
436.868324,173,35.037549
955.819122,319,35.466764
1167.473304,415,35.543288
2266.542829,1000,35.725836
553.176344,210,35.766066
611.608639,209,35.803291
613.500049,211,36.230692
572.79091,210,36.273161
1191.401186,406,36.353199
1184.849906,410,36.430578
823.213238,266,36.480892
227.128675,113,36.502869
1067.366495,364,36.574889
692.325539,238,37.010144
970.312475,326,37.070074
571.890235,233,37.116189
532.123861,174,37.149338
693.923047,224,37.192291
946.683442,319,37.25224
631.442902,224,37.295339
1080.779657,408,37.372401
833.511567,274,37.799895
1227.62521,450,37.890784
573.588704,208,37.932412
773.186039,258,37.980924
964.414185,382,38.056523
700.788204,230,38.099309
